openalex_id,title,category_id,old_stage2_score,new_stage2_sim,old_status,new_status,old_score,new_score,old_item,new_item
https://openalex.org/W1673609236,Retorno da Educação no Brasil,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1673609236,Retorno da Educação no Brasil,performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W1673609236,Retorno da Educação no Brasil,ses-aggregated,0.0,6.461,available,available,17.0,18.95,0afd8c122fb4400b847693e715106304,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W1673609236,Retorno da Educação no Brasil,geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
https://openalex.org/W2244636703,Recent Trends in Top Income Shares in the USA: Reconciling Estimates from March CPS and IRS Tax Retu,travel-network,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W2244636703,Recent Trends in Top Income Shares in the USA: Reconciling Estimates from March CPS and IRS Tax Retu,geometry-schools,0.0,0.0,available,,13.0,0.0,0a220ea7972449e39a28210dd317f636,
https://openalex.org/W2244636703,Recent Trends in Top Income Shares in the USA: Reconciling Estimates from March CPS and IRS Tax Retu,geometry-neighborhoods,0.0,0.0,available,,10.0,0.0,ae64616d363e48c897818b640e2a22cd,
https://openalex.org/W1950932221,Um modelo para análise da estratificação educacional no Brasil.,microdata-student,0.0,0.0,external,,0.0,0.0,,
https://openalex.org/W1950932221,Um modelo para análise da estratificação educacional no Brasil.,microdata-household,0.0,6.855,external,external,0.0,0.0,,
https://openalex.org/W1950932221,Um modelo para análise da estratificação educacional no Brasil.,longitudinal-cohort,0.0,7.92,external,external,0.0,0.0,,
https://openalex.org/W1950932221,Um modelo para análise da estratificação educacional no Brasil.,performance-aggregated,0.0,7.92,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W2805485529,Relatório do Grupo de Trabalho sobre Financiamento da Educação,enrollment-counts,0.0,6.509,,available,0.0,20.24,,d1e1192de4854ee4b53095a6f3274018
https://openalex.org/W2805485529,Relatório do Grupo de Trabalho sobre Financiamento da Educação,performance-aggregated,2.0,13.553,available,available,7.0,15.54,29d517eedb9c44379a07430280a12839,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W2805485529,Relatório do Grupo de Trabalho sobre Financiamento da Educação,ses-aggregated,0.0,6.509,,available,0.0,18.95,,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W1497608962,"Graduation, Graduate School Attendance, and Investments in College Training",performance-aggregated,0.0,6.461,,available,0.0,15.54,,79bed9c0ee4e46ac8f0c8effc89a62ab
https://openalex.org/W1497608962,"Graduation, Graduate School Attendance, and Investments in College Training",ses-aggregated,0.0,6.461,available,available,17.0,18.95,0afd8c122fb4400b847693e715106304,fa85ddc76a524380ad7fc60e3006ee97
https://openalex.org/W1497608962,"Graduation, Graduate School Attendance, and Investments in College Training",geometry-schools,0.0,6.461,,available,0.0,21.8,,498e637753bd4e0da76e90103dd21eb7
