id,title,format,file_bytes,n_sheets,total_rows,max_cols,max_unique_first_col,years_min,years_max,num_views,tags
4f7b7e9578e14e5c8d865c4e5c2074ba,"Investimentos realizados pelo CNPQ em bolsas e no fomento à pesquisa, segundo a Instituição no Estado do Rio de Janeiro, entre 2001-2015",xls,352256,3,1003,22,335,2001,2015,62,Educação|Ensino superior
50b4e136fa9c4701b5e3cee37865786d,"Educação Infantil, Ensino Fundamental, Educação de Jovens e Adultos: número de matrículas na rede municipal de ensino por nível de ensino, segundo ano e sexo, no Município do Rio de Janeiro entre 1999-2013",xls,193536,15,242,19,4,1999,2013,109,Educação|Educação básica
51a59a06ae12474b9975a52c2fcd55e2,"Educação Infantil, Ensino Fundamental, Educação Especial, Programa de Educação de Jovens e Adultos (PEJ): alunos matriculados na rede pública municipal, por gênero, segundo as Coordenadorias Regionais de Educação (CRE) e matrícula inicial - 2013",xls,126976,6,270,29,15,2008,2013,119,Educação|Educação básica
5260a891ea8b446d8707b8a11eb8a1f6,"Educação Especial: docentes, por grau de formação, segundo as Dependências Administrativas, entre 1999-2006",xls,24064,2,78,5,13,1999,2007,78,Educação|Educação básica
55fa75ad04144e619cf9fff28929ff0b,"Número de docentes por grau de formação, segundo a dependência administrativa no Estado do Rio de Janeiro, entre 2001-2022",xls,63488,7,308,7,15,2001,2023,156,Educação|Ensino superior
59ae30dc3ab344d6b214965ce1dd39bf,"Pessoas de 14 anos ou mais de idade, por último grau de ensino concluído, segundo as classes de rendimento domiciliar per capita no Município do Rio de Janeiro em 2008/2009",xls,31232,2,50,8,14,2008,2009,129,Educação|Escolaridade da população
5a30dbdd567e4bc1b32ecb6be4672bca,Taxa de atendimento de pessoas de 7 a 14 anos na rede pública municipal - 1999- 2006 (Gráfico),xls,22016,1,26,23,9,1999,2006,68,Educação|Escolaridade da população
5bb3607ea06e404fb8542c73bcea174e,Número e distribuição percentual dos concluintes em cursos de graduação presenciais no Brasil e suas 12 maiores capitais entre 2000-2022,xls,268288,24,552,3,15,2000,2023,110,Educação|Ensino superior
5c0658d31c5a4fd086d13bf4f23f018c,"Número de matrículas em cursos de graduação presenciais, por organização acadêmica, segundo a dependência administrativa no Município do Rio de Janeiro, entre 2000-2022",xls,116736,8,258,8,13,2000,2022,149,Educação|Ensino superior
5e7a88898605441a8f7818602e02ecc7,"Número e proporção das pessoas de 5 anos ou mais de idade que freqüentam escola ou creche, por grupos de idade, segundo as Regiões Administrativas (RA) do Município do Rio de Janeiro, em 2000/2010",xls,67072,2,92,19,36,2000,2010,69,Educação|Escolaridade da população
